사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-05,5호선,436,강일,"60,318","62,435","21,894","21,719"
2021-05,5호선,437,미사,"332,295","327,372","56,200","55,399"
2021-05,5호선,438,하남풍산,"82,563","82,720","19,164","19,033"
2021-05,5호선,439,하남시청(덕풍·신장),"95,844","94,836","44,250","45,375"
2021-05,5호선,440,하남검단산,"102,567","101,130","39,272","39,383"
2021-05,6호선,441,응암,"363,367","359,376","98,825","97,517"
2021-05,6호선,442,역촌,"69,103","86,039","28,368","27,596"
2021-05,6호선,443,불광,"87,369","90,014","34,961","29,095"
2021-05,6호선,444,독바위,"56,551","58,011","17,417","21,550"
2021-05,6호선,445,연신내,10,0,0,0
2021-05,6호선,446,구산,"155,082","104,687","43,702","45,476"
2021-05,6호선,447,새절(신사),"260,313","240,939","74,898","75,031"
2021-05,6호선,448,증산(명지대앞),"203,360","199,655","61,499","63,053"
2021-05,6호선,449,디지털미디어시티,"288,109","312,166","46,764","46,924"
2021-05,6호선,450,월드컵경기장(성산),"82,354","88,845","54,095","52,618"
2021-05,6호선,451,마포구청,"296,966","267,728","66,449","60,194"
2021-05,6호선,452,망원,"320,241","352,924","72,682","75,469"
2021-05,6호선,453,합정,"327,277","313,467","33,451","30,725"
2021-05,6호선,454,상수,"201,191","226,156","18,208","18,560"
2021-05,6호선,455,광흥창(서강),"186,198","178,464","37,558","37,381"
2021-05,6호선,456,대흥(서강대앞),"167,466","173,914","38,471","38,211"
2021-05,6호선,457,공덕,"388,033","374,637","62,015","57,020"
2021-05,6호선,458,효창공원앞,"146,310","131,049","33,159","31,269"
2021-05,6호선,459,삼각지,"145,823","122,859","13,844","11,491"
2021-05,6호선,460,녹사평(용산구청),"129,435","128,092","15,710","15,105"
2021-05,6호선,461,이태원,"262,039","267,932","27,083","27,477"
2021-05,6호선,462,한강진,"192,684","228,090","13,001","12,837"
2021-05,6호선,463,버티고개,"46,191","44,074","12,414","14,290"
2021-05,6호선,464,약수,"71,824","73,856","18,454","18,457"
2021-05,6호선,465,청구,"80,221","82,617","16,553","20,233"
2021-05,6호선,466,신당,"176,945","187,114","29,592","28,249"
2021-05,6호선,467,동묘앞,"167,131","173,251","64,278","57,791"
2021-05,6호선,468,창신,"75,108","60,350","16,259","15,598"
2021-05,6호선,469,보문,"161,725","149,317","27,507","26,063"
2021-05,6호선,470,안암(고대병원앞),"237,382","239,076","27,691","26,345"
2021-05,6호선,471,고려대(종암),"177,704","167,062","29,371","29,542"
2021-05,6호선,472,월곡(동덕여대),"227,712","225,653","60,660","60,685"
2021-05,6호선,473,상월곡(한국과학기술연구원),"128,989","112,753","34,353","33,583"
2021-05,6호선,474,돌곶이,"190,552","176,863","48,278","47,597"
2021-05,6호선,475,석계,"256,619","262,720","66,309","66,501"
2021-05,6호선,476,태릉입구,"122,998","140,382","30,103","32,566"
2021-05,6호선,477,화랑대(서울여대입구),"249,848","195,448","39,562","34,736"
2021-05,6호선,478,봉화산(서울의료원),"181,116","167,953","41,696","41,422"
2021-05,6호선,479,신내,6,0,0,0
2021-05,7호선,480,장암,"52,548","23,205","9,346","6,912"
2021-05,7호선,481,도봉산,"203,278","240,141","44,786","65,224"
2021-05,7호선,482,수락산,"266,762","261,025","84,760","84,633"
2021-05,7호선,483,마들,"252,900","235,614","71,583","71,231"
2021-05,7호선,484,노원,"418,451","447,175","99,732","100,750"
2021-05,7호선,485,중계,"290,515","260,915","76,929","73,892"
2021-05,7호선,486,하계,"371,746","348,822","86,177","83,358"
2021-05,7호선,487,공릉(서울과학기술대),"257,966","256,630","58,409","58,429"
2021-05,7호선,488,태릉입구,"196,619","189,762","43,079","41,208"
2021-05,7호선,489,먹골,"214,757","206,499","56,090","56,519"
2021-05,7호선,490,중화,"236,279","228,262","56,277","56,022"
2021-05,7호선,491,상봉(시외버스터미널),"392,602","369,067","61,414","59,020"
2021-05,7호선,492,면목,"327,550","315,564","81,374","83,276"
2021-05,7호선,493,사가정,"352,507","348,709","86,841","86,279"
2021-05,7호선,494,용마산(용마폭포공원),"132,180","127,889","30,741","33,416"
2021-05,7호선,495,중곡,"208,189","190,800","49,540","49,775"
2021-05,7호선,496,군자(능동),"324,292","253,659","62,710","54,672"
2021-05,7호선,497,어린이대공원(세종대),"310,185","308,718","36,323","35,845"
2021-05,7호선,498,건대입구,"286,315","302,088","42,861","38,198"
2021-05,7호선,499,뚝섬유원지,"246,299","240,108","37,208","37,732"
2021-05,7호선,500,청담,"415,362","468,959","59,251","57,233"
2021-05,7호선,501,강남구청,"357,640","396,262","41,367","41,647"
2021-05,7호선,502,학동,"507,538","548,436","49,473","46,039"
2021-05,7호선,503,논현,"454,929","491,527","43,384","43,097"
2021-05,7호선,504,반포,"124,831","121,220","27,138","25,585"
2021-05,7호선,505,고속터미널,"378,629","301,596","59,140","50,855"
2021-05,7호선,506,내방,"296,553","304,877","55,017","54,117"
2021-05,7호선,507,이수,"343,615","333,118","63,777","61,016"
2021-05,7호선,508,남성,"228,942","211,619","63,285","62,831"
2021-05,7호선,509,숭실대입구(살피재),"260,853","265,301","49,324","51,434"
2021-05,7호선,510,상도,"225,834","219,164","51,509","49,442"
2021-05,7호선,511,장승배기,"192,773","185,284","58,746","58,587"
2021-05,7호선,512,신대방삼거리,"343,234","325,432","74,796","76,622"
2021-05,7호선,513,보라매,"212,174","211,344","38,169","37,578"
2021-05,7호선,514,신풍,"248,404","234,094","59,392","59,622"
2021-05,7호선,515,대림(구로구청),"197,802","197,548","30,082","29,321"
2021-05,7호선,516,남구로,"348,671","368,992","51,872","51,709"
2021-05,7호선,517,가산디지털단지,"987,441","985,260","75,903","71,742"
2021-05,7호선,518,철산,"478,637","488,559","82,753","82,306"
2021-05,7호선,519,광명사거리,"465,083","452,300","126,728","129,430"
2021-05,7호선,520,천왕,"241,636","227,303","47,608","47,477"
2021-05,7호선,521,온수(성공회대입구),"232,437","216,070","33,281","32,157"
2021-05,7호선,522,까치울,"175,087","169,241","28,775","28,897"
2021-05,7호선,523,부천종합운동장,"103,256","89,899","17,978","17,482"
2021-05,7호선,524,춘의,"206,661","202,047","28,331","28,071"
2021-05,7호선,525,신중동,"321,755","319,680","46,269","44,555"
2021-05,7호선,526,부천시청,"284,273","281,405","47,276","45,766"
2021-05,7호선,527,상동,"292,241","303,336","42,063","41,777"
2021-05,7호선,528,삼산체육관,"109,159","98,260","24,455","23,556"
2021-05,7호선,529,굴포천,"199,877","211,962","30,192","30,538"
2021-05,7호선,530,부평구청,"241,913","200,625","27,648","24,595"
2021-05,8호선,531,암사,"392,747","344,570","90,729","90,022"
2021-05,8호선,532,천호(풍납토성),"327,574","392,383","68,458","65,489"
2021-05,8호선,533,강동구청,"206,689","215,269","53,381","53,878"
2021-05,8호선,534,몽촌토성(평화의문),"126,058","130,460","28,319","27,143"
2021-05,8호선,535,잠실(송파구청),"314,120","375,463","55,880","54,221"
2021-05,8호선,536,석촌,"159,485","190,500","41,668","44,211"
2021-05,8호선,537,송파,"151,841","152,942","44,989","44,796"
2021-05,8호선,538,가락시장,"145,223","164,676","52,876","53,949"
2021-05,8호선,539,문정,"451,849","477,385","47,769","47,779"
2021-05,8호선,540,장지,"380,778","362,355","64,070","61,130"
2021-05,8호선,541,복정,"240,333","208,617","40,268","37,369"
2021-05,8호선,542,산성,"133,987","130,876","30,994","34,582"
2021-05,8호선,543,남한산성입구(성남법원.검찰청),"285,311","259,750","68,918","66,427"
2021-05,8호선,544,단대오거리,"215,915","207,533","61,030","58,698"
2021-05,8호선,545,신흥,"87,693","94,941","33,915","34,933"
2021-05,8호선,546,수진,"101,300","90,479","35,199","34,817"
2021-05,8호선,547,모란,"76,332","62,275","47,615","36,802"
2021-05,9호선,607,개화,"52,250","36,626","11,685","9,584"
2021-05,9호선,608,김포공항,"216,581","327,907","16,438","20,229"
2021-05,9호선,609,공항시장,"55,277","59,630","21,588","23,455"
2021-05,9호선,610,신방화,"136,361","130,916","38,852","38,628"
2021-05,9호선,611,마곡나루(서울식물원),"266,088","266,240","27,367","27,377"
2021-05,9호선,612,양천향교,"203,397","207,174","38,510","38,713"
2021-05,9호선,613,가양,"410,881","401,749","107,777","104,133"
2021-05,9호선,614,증미,"144,337","143,906","37,255","38,164"
2021-05,9호선,615,등촌,"217,325","210,491","68,579","69,005"
2021-05,9호선,616,염창,"376,188","367,582","58,999","58,761"
2021-05,9호선,617,신목동,"81,488","72,432","17,733","16,542"
2021-05,9호선,618,선유도,"175,357","171,778","25,021","24,088"
2021-05,9호선,619,당산,"402,736","402,667","54,067","49,701"
2021-05,9호선,620,국회의사당,"304,857","318,423","39,825","34,760"
2021-05,9호선,621,여의도,"596,674","565,874","37,973","34,964"
2021-05,9호선,622,샛강,"116,518","120,235","20,594","20,576"
2021-05,9호선,623,노량진,"612,251","604,081","72,924","74,444"
2021-05,9호선,624,노들,"90,736","75,494","26,660","24,825"
2021-05,9호선,625,흑석(중앙대입구),"157,832","165,147","44,300","44,350"
2021-05,9호선,626,동작(현충원),"40,076","31,896","11,403","9,789"
2021-05,9호선,627,구반포,"53,086","55,435","18,588","18,812"
2021-05,9호선,628,신반포,"68,292","67,784","16,582","16,490"
2021-05,9호선,629,고속터미널,"303,231","407,993","48,218","55,098"
2021-05,9호선,630,사평,"67,182","65,464","15,221","15,271"
2021-05,9호선,631,신논현,"770,520","763,042","49,532","46,266"
2021-05,공항철도 1호선,645,서울역,"185,164","175,689","27,379","24,545"
2021-05,공항철도 1호선,646,공덕,"50,556","67,117","6,023","7,120"
2021-05,공항철도 1호선,647,홍대입구,"273,942","271,540","15,275","14,478"
2021-05,공항철도 1호선,648,디지털미디어시티,"299,201","271,601","20,357","19,102"
2021-05,공항철도 1호선,649,마곡나루(서울식물원),"177,532","175,044","11,512","11,302"
2021-05,공항철도 1호선,650,김포공항,"326,897","177,202","20,436","13,038"
2021-05,공항철도 1호선,651,계양,"218,753","201,372","23,424","21,953"
2021-05,공항철도 1호선,652,검암,"160,903","159,609","15,736","16,414"
2021-05,공항철도 1호선,653,청라국제도시,"156,059","147,766","10,230","10,046"
2021-05,공항철도 1호선,654,운서,"148,696","151,329","22,697","22,601"
2021-05,공항철도 1호선,655,공항화물청사,"48,721","53,010","7,920","7,805"
2021-05,공항철도 1호선,656,인천공항1터미널,"76,701","80,984","12,367","12,473"
2021-05,공항철도 1호선,657,인천공항2터미널,"46,226","44,605","5,190","4,963"
2021-05,공항철도 1호선,658,영종,"66,020","67,010","17,888","17,933"
2021-05,9호선2~3단계,632,언주,"217,850","222,808","23,344","23,326"
2021-05,9호선2~3단계,633,선정릉,"208,399","228,359","19,407","20,142"
2021-05,9호선2~3단계,634,삼성중앙,"139,731","146,401","17,932","17,743"
2021-05,9호선2~3단계,635,봉은사,"362,324","371,826","38,743","37,034"
2021-05,9호선2~3단계,636,종합운동장,"93,401","92,177","14,990","13,857"
2021-05,9호선2~3단계,637,삼전,"142,071","136,984","29,548","28,689"
2021-05,9호선2~3단계,638,석촌고분,"123,685","122,160","27,177","27,037"
2021-05,9호선2~3단계,639,석촌,"182,995","162,403","27,644","24,059"
2021-05,9호선2~3단계,640,송파나루,"103,951","113,372","20,628","20,963"
2021-05,9호선2~3단계,641,한성백제,"51,535","46,840","13,057","11,718"
2021-05,9호선2~3단계,642,올림픽공원(한국체대),"132,778","133,294","22,231","22,116"
2021-05,9호선2~3단계,643,둔촌오륜,"24,781","21,344","5,081","5,319"
2021-05,9호선2~3단계,644,중앙보훈병원,"173,262","150,695","63,918","62,735"
2021-05,우이신설선,702,북한산우이,"57,911","53,417","34,131","35,367"
2021-05,우이신설선,703,솔밭공원,"39,259","35,816","24,441","25,876"
2021-05,우이신설선,704,4.19민주묘지,"49,538","48,385","32,255","28,975"
2021-05,우이신설선,705,가오리,"65,931","63,414","41,536","42,504"
2021-05,우이신설선,706,화계,"53,868","47,909","36,229","36,228"
2021-05,우이신설선,707,삼양,"30,305","31,067","23,618","26,021"
2021-05,우이신설선,708,삼양사거리,"33,253","34,286","31,047","31,451"
2021-05,우이신설선,709,솔샘,"112,728","101,886","31,604","32,862"
2021-05,우이신설선,710,북한산보국문,"122,997","114,602","38,084","38,712"
2021-05,우이신설선,711,정릉,"81,845","73,718","39,742","37,259"
2021-05,우이신설선,712,성신여대입구(돈암),"62,473","73,940","25,310","24,463"
2021-05,우이신설선,713,보문,"27,039","26,949","12,765","13,316"
2021-05,우이신설선,714,신설동,"33,502","34,141","22,425","20,129"
